melongo,diam
nanam,tanam
nangkep,nangkap
tlh,telah
gmanapun,bagaimanapun
gpp,tidak apa
dng,dengan
tgn,tangan
slalu,selalu
elo,kamu
smg,semoga
slama,selama
slm,selama
jkw,jokowi
dibca,dibaca
artix,artinya
mao,mau
slmt,selamat
rp,rupiah
mrpkan,merupakan
bukanx,bukannya
krna,karena
trhdp,terhadap
kepake,kepakai
jamannya,zamannya
sdgkn,sedangkan
sdg,sedang
abis,habis
pnjara,penjara
menyuport,mendukung
jorjoran,besar-besaran
msg,masing
ktr,kantor
trmsk,termasuk
goblok,bodoh
trang,terang
bwt,buat
jbatan,jabatan
akn,akan
sptnya,sepertinya
mngkn,mungkin
kowe,kamu
tnp,tanpa
trpendam,terpendam
now,sekarang
shg,sehingga
stlh,setelah
mnj,menjadi
kereen,keren
knp,kenapa
adl,adalah
keciiiilllll,kecil
bsr,besar
kpda,kepada
tolol,bodoh
sampe,sampai
ninggalin,meninggalkan
pst,pasti
sllu,selalu
twit,tweet
bukanx,bukannya
prov,provinsi
invest,investasi
enjoy,santai
kab,kabupaten
kepingin,kepengen
burem,buram
segede,sebesar
sgala,segala
orng,orang
beres,selesai
geng,kelompok
garing,bosan
mmpu,mampu
recoki,gaduh
ampe,sampai
disusupi,dimasuki
melek,lihat
jls,jelas
layak,pantas
ma,sama
sby,susilo bambang yudhoyono
nuduh,menuduh
didlm,didalam
jt,juta
bang,abang
bego,bodoh
mulu,terus
cn,cak nun
love,cinta
bacot,nyinyir
pak,bapak
junjungi,dukung
gebuk,hajar
lewaaat,lewat
action,akting
srg,sekarang
kele,kali
kli,kali
tb,tiba
kongkalikong,bekerja sama
ngutang,hutang
doang,saja
tiap,setiap
antek,pengikut
emngnya,memangnya
emang,memang
stengah,setengah
mraskn,merasakan
 prnytaan,pernyataan
brkata,berkata
diteken,ditekan
htl,hotel
apk,apakah
apkah,apakah
nt,nanti
duwit,uang
keluwarga,keluarga
kapl,kapal
sbgmna,sebagaimana
psl,pasal
terhdp,terhadap
kliatan,kelihatan
keliatan,kelihatan
lo,kamu
spti,seperti
statemen,pendapat
kemaren,kemarin
gerombolan,kelompok
rame,ramai
utang,hutang
merecoki,menggaduh
caya,percaya
ntuk,untuk
setau,setahu
mghina,menghina
nyumpet,sembunyi
nyamain,nyamakan
taug,tahu
pny,punya
ngomong,bicara
duit,uang
bbrp,beberapa
gamparin,tampar
kesel,kesal
ngejek,mengejek
dongok,bodoh
tetep,tetap
ksl,kesal
idialis,idealis
drasakan,dirasakan
ng,tidak
ngak,tidak
emperan,halaman
aku,saya
buanyaaakkkk,banyak
nyungsep,jatuh
pnya,punya
kelar,selesai
mjlnkan ,menjalankan
kibul,bohong
dikibuli,dibodohi
jlnny,jalannya
jlnnya,jalannya
jln,jalan
gede,besar
kudu,harus
becus,pintar
kian,makin
7an,tujuan
motiv,motif
bibib,habib
mamad,ahmad
nyerang,menyerang
genk,kelompok
elu,kamu
2F,fadli fahri
member,anggota
ngurusi,mengurus
ngerecoki,menggaduh
kgak,tidak
sjahtrakan,sejahterakan
ngikutin,mengikuti
kgk,tidak
kagak,tidak
jkt,jakarta
mhswa,mahasiswa
buruan,segera
kebakaean,kebaikkan
mnjatuhkn,menjatuhkan
hrsnya,harusnya
ngancam,mengancam
kmrn,kemarin
ngiri,iri
lelet,lambat
krj,kerja
mantaff,mantap
nyesel,menyesal
coblos,memilih
ane,saya
moga,semoga
bualan,bohong
ganyang,tangkap
jelekkkin,jelekkan
ngejelekin,menjelekkan
ngerasa,merasa
please,tolong
orla,orde lama
orba,orde baru
gercep,gerak cepat
ngerasain,merasakan
gini,begini
kyk,seperti
zonk,zon
a/n,atas nama
ar,amien rais
pengibulan,pembohong
Pengkibulan,pembohongan
ngibul,bohong
ngibuli,bohong
lasti,pasti
mandek,berhenti
brrti,berarti
naikin,naikkan
salut,hebat
nyadar,sadar
wataknya,sifatnya
garong,perampok
napi,nara pidana
hadew,aduh
bijimana,bagaimana
mendatngkan,mendatangkan
menjudge,menilai
ngga,tidak
mengakali,membohongi
ngacauin,mengacau
beresin,selesaikan
sorry,maaf
kluar,keluar
fair,adil
smart,pintar
tkgn,tukang
menjd,menjadi
dll,dan lain-lain
tlah,telah
hr,hari
smakin,semakin
preseden,teladan
ngurus,mengurus
nmanya,namanya
sblah,sebelah
ditugasi,ditugaskan
kluarga,keluarga
ngerongrong,mengganggu
terlht,terlihat
menghandle,mengatur
samain,samakan
dapet,dapat
ngaku,mengaku
koar,teriak
dah,sudah
ruet,ribut
trsebut,tersebut
btuhkan,butuhkan
ingetin,ingatkan
maturnuwum,terima kasih
tjd,terjadi
milih,pilih
ngejabat,menjabat
gua,saya
ksian,kasihan
gtu,begitu
menyakiti,menyakitkan
yme,yang maha esa
emak,ibu
perongrong,pengganggu
klompok,kelompok
berhrp,berharap
brarti,berarti
diem,diam
didengerin,didengarkan
drpd,dari pada
n,dan
nyulik,menculik
back,kembali
buy,membeli
pinter,pintar
uas,ustad abdul somad 
nyainginnya,bersaing
segoblok,sebodoh
itung,hitung
ngitung,hitung
bilangin,bilangkan
temen,teman
berstatement,berpendapat
menggerogoti,mengrongrong
mengcounter,menyerang
ngebacot,nyinyir
ngotot,ingin
penyerhn ,penyerahan
nie,ini
pade,pada
aqu,saya
jalim,zalim
mndpat,mendapat
perhtian,perhatian
slma,selama
sj,saja
nyolong,maling
ngamuk,marah
mengkerangkeng,mempenjarakan
beberkan,sampaikan
bodo,bodoh
strong,sabar
sampean,kamu
edan,dasar
legowo,sabar
Seyogianya,seharusnya
issu,isu
bhkn,bahkan
hyalah,hanyalah
pulisi,polisi
mudhan,mudahan
cabinet,kabinet
mangkanye,makanya
shere,share
pngajian,pengajian
tmbh,tambah
dibyr,dibayar
bhongnya,bohongnya
tnggapan,tanggapan
melulu,terus
kek,seperti
dengerin,dengarkan
ngegoyang,menggoyang
bner,benar
bener,benar
ketauan,ketahuan
and,dan
gank,kelompok
bgun,bangun
ndk,tidak
telen,telan
bulet,bulat
perhatiin,perhatikan
sn,setya novanto
sbuah,sebuah
diumpetin,disembunyikan
mengkem,diam
lgan,lagian
brantakan,berantakan
sndiri,sendiri
spya,supaya
sprti,seperti
walk out,keluar
mencr,mencari
monggo,silahkan
tangkep,tangkap
ngucur,mengalir
cma,hanya
bsa,bisa
jwb,jawab
tlg,tolong
nyesal,menyesal
asbun,asal bunyi
you know,kamu tahu
mcam,macam
rasain,rasakan
turunin,turunkan
br,baru
kmna,kemana
kmn,kemana
klh,kalah
ngelak,mengelak
mw,mau
bangeets,sekali
boongnya,bohongnya
boong,bohong
mkasih,terima kasih
bhwa,bahwa
pd,pada
hancuuuur, hancur
Paraaaaah,parah
pda,pada
